加入			かにゅう			その会に加入させてもらえなかった
再発			さいはつ			そういう事故は再発する恐れがあります
兎角			とかく				涙は兎角に止まなかった　（止む　個人の力では扱いかねるものに用いられるように思います。)(止まる　赤信号で止まりましたか)
>兼ねる			かねる				unable to do sth こういう事情ですから、残念ながら、せっかくのご招待をおうけいたしかねるのです
喋る			しゃべる			黙っていたことを後悔した人より、しゃべったことを後悔した人が多い。
>掌				たなごころ			おいおい当城を掌にし
取り混ぜる		とりまぜる			彼らはトマトを大小取り混ぜて売った
>従って			したがって			according to;先生の忠告に従って行動したほうがよい
>志				こころざし			何事をするにも志が大切
貫禄			かんろく			dignity 君は課長としての貫禄がない
欠席			けっせき			無断で欠席すべきではない
困難			こんなん			問題はいかにして我々がげんざいの困難を切り抜けるかである
事情			じじょう			彼女に会うべきかどうかは私自身が決める事情だ
>伺う			うかがう			call on;pay a visit;wait on;ask;hear;be told; 本日は伺うことができませんでした。
>刃				は					刃の鋭い、刃は鋭い
家計			かけい				彼女は家計のやり繰りに頭を抱えている
物資			ぶっし				公平に言って、彼は自分の限られた部下と物資で最善を尽くした
転校			てんこう			転校生は先生の鉛筆を削って機嫌を取った
手配			てはい				誰かお宅へ車で迎えに行くよう手配しておきましょうか
>呟く			つぶやく			嘀咕 叽歪 彼は学校に対する不満を呟いた　He muttered complaints against the school
>隠れる			かくれる			彼は戸の陰に隠れた
関税			かんぜい			
見事			みごと
奇妙			きみょう
集中			しゅうちゅう
業			ごう
宛てる			あてる
役場			やくば
農業			のうぎょう
			ポット
影響			えいきょう
評価			ひょうか
			ロープ
存続			そんぞく
似合う			にあう
従業員			じゅうぎょういん
財産			ざいさん
後回し			あとまわし
定期			ていき
何とか			なんとか
本質			ほんしつ
典型			てんけい
物語			ものがたり
日付			ひづけ
気候			きこう
何時の間にか			いつのまにか
鼠			ねずみ
密度			みつど
類推			るいすい
当たる			あたる
上等			じょうとう
以て			もって
吟味			ぎんみ
差異			さい
工学			こうがく
赤ちゃん			あかちゃん
面			おも
			ゲーム
入院			にゅういん
			こんにちは
飛び出す			とびだす
陽気			ようき
真理			しんり
単位			たんい
			あと
作戦			さくせん
暴動			ぼうどう
手段			しゅだん
教え			おしえ
霧			きり
学			がく
行き			いき
天皇			すめらぎ
			ジュース
海抜			かいばつ
引っ掛ける			ひっかける
			マッサージ
気障			きざ
契約			けいやく
大胆			だいたん
西日			にしび
傾ける			かたむける
十			とお
覚悟			かくご
ぶら下げる			ぶらさげる
越す			こす
分散			ぶんさん
数える			かぞえる
玉			たま
用いる			もちいる
氷			こおり
数			すう
予算			よさん
遥か			はるか
勿論			もちろん
戦力			せんりょく
幅			はば
国語			こくご
出席			しゅっせき
食う			くう
演説			えんぜつ
稲			いね
煌びやか			きらびやか
直面			ちょくめん
丁目			ちょうめ
好評			こうひょう
頼み			たのみ
巻			まき
喧嘩			けんか
逮捕			たいほ
楽			らく
機構			きこう
戦い			たたかい
友			とも
			ドレス
展示			てんじ
通過			つうか
喜劇			きげき
管			かん
世論			せろん
早める			はやめる
彼方			あちら
			しきりに
何卒			どうぞ
種類			しゅるい
人種			じんしゅ
矢鱈に			やたらに
存在			そんざい
豪華			ごうか
推進			すいしん
日々			ひび
炙る			あぶる
沈む			しずむ
網			あみ
感動			かんどう
材料			ざいりょう
些とも			ちっとも
余裕			よゆう
一定			いちじょう
活動			かつどう
券			けん
骨折			こっせつ
反抗			はんこう
値打ち			ねうち
抱く			いだく
思考			しこう
健在			けんざい
癌			がん
製法			せいほう
宝石			ほうせき
			クリスマス
曲がる			まがる
戴きます			いただきます
共通			きょうつう
			がっしり
装置			そうち
旦那			だんな
お出でになる			おいでになる
必死			ひっし
限定			げんてい
断面			だんめん
掛け			かけ
とん			（1000
訂正			ていせい
名			な
印			しるし
甚だ			はなはだ
畏まりました			かしこまりました
慎重			しんちょう
予防			よぼう
			おそらく
其れ程			それほど
宅			たく
海外			かいがい
			スター
			ブレーキ
彼の			あの
料金			りょうきん
			いらいら
勤労			きんろう
			ライター
要望			ようぼう
役割			やくわり
素			もと
行き			ゆき
神			かみ
几帳面			きちょうめん
定食			ていしょく
含嗽			うがい
成功			せいこう
後者			こうしゃ
沈殿			ちんでん
爆破			ばくは
悪魔			あくま
解く			とく
不意			ふい
激しい			はげしい
供給			きょうきゅう
愚痴			ぐち
軍隊			ぐんたい
需要			じゅよう
勤まる			つとまる
灯			ひ
両立			りょうりつ
兎			うさぎ
主催			しゅさい
作法			さほう
有りのまま			ありのまま
			スタンド
司る			つかさどる
王子			おうじ
僕			しもべ
			ドライクリーニング
下品			かひん
後			のち
例			ためし
劇団			げきだん
誤解			ごかい
隠居			いんきょ
採択			さいたく
注			ちゅう
課外			かがい
			ゲーム
化石			かせき
小麦			こむぎ
天国			てんごく
堪える			こらえる
間違い			まちがい
吃驚			びっくり
赤らむ			あからむ
許可			きょか
分離			ぶんり
外交			がいこう
語			ご
振動			しんどう
			データ
芝生			しばふ
余暇			よか
惑星			わくせい
賃金			ちんぎん
考え			かんがえ
仏像			ぶつぞう
何より			なにより
轢く			ひく
周期			しゅうき
			シート
暖かい			あたたか(い)
田			た
会計			かいけい
溜まり			たまり
印象			いんしょう
現代			げんだい
利子			りし
			でかい
勿論			もちろん
苗			なえ
打つ			ぶつ
嬉しい			うれしい
覆う			おおう
振り出し			ふりだし
一言			いちげん
三			み
下らない			くだらない
方法			ほうほう
残金			ざんきん
起源			きげん
電源			でんげん
通信			つうしん
離す			はなす
務め			つとめ
観			かん
下吏			かり
求める			もとめる
			ミルク
手際			てぎわ
廃れる			すたれる
裁判			さいばん
落ち着き			おちつき
割合に			わりあいに
			あちこち
微笑む			ほほえむ
支出			ししゅつ
			コーチ
重宝			じゅうほう
相応しい			ふさわしい
嘘			うそ
行き			ゆき
外交			がいこう
資本			しほん
独立			どくりつ
城			しろ
重			え
栽培			さいばい
入場			にゅうじょう
一部			いちぶ
加工			かこう
宅			たく
歎			たん
土産			どさん
家賃			やちん
引っ張る			ひっぱる
			ハイキング
位置			いち
掻き回す			かきまわす
意地			いじ
反			たん
埋め込む			うめこむ
歩道			ほどう
経過			けいか
尽きる			つきる
			エネルギー
同盟			どうめい
威力			いりょく
害			がい
如何して			どうして
坊ちゃん			ぼっちゃん
離す			はなす
甘える			あまえる
付き合い			つきあい
滅多に			めったに
対決			たいけつ
渋い			しぶい
同時			どうじ
改善			かいぜん
叫び			さけび
一括			いっかつ
定まる			さだまる
品種			ひんしゅ
対			たい
日中			にっちゅう
同封			どうふう
国境			こっきょう
非行			ひこう
詰める			つめる
食品			しょくひん
慌てる			あわてる
生			せい
髪の毛			かみのけ
軍服			ぐんぷく
温度			おんど
復活			ふっかつ
では			では
南			なん
説得			せっとく
釣			つり
朗読			ろうどく
用心			ようじん
何も			なにも
大家			おおや
所謂			いわゆる
親しい			したしい
使い道			つかいみち
観光			かんこう
募る			つのる
宜しい			よろしい
灯			ひ
現代			げんだい
回			かい
逆			ぎゃく
			フィルター
愛情			あいじょう
窮乏			きゅうぼう
欠乏			けつぼう
遅刻			ちこく
歩			ふ
			ブザー
対処			たいしょ
			じっと
助ける			たすける
演ずる			えんずる
単純			たんじゅん
恐れる			おそれる
果たして			はたして
お供			おとも
梅干			うめぼし
			パス
願い			ねがい
支える			ささえる
割			かつ
転じる			てんじる
耐える			たえる
補充			ほじゅう
沈黙			ちんもく
注目			ちゅうもく
喫茶			きっさ
改修			かいしゅう
融資			ゆうし
宝			たから
渋滞			じゅうたい
言論			げんろん
演説			えんぜつ
段			だん
			デモ
陳列			ちんれつ
望み			のぞみ
湾			わん
欠点			けってん
粉末			ふんまつ
魚			うお
入る			いる
止まる			とどまる
柄			がら
滅ぼす			ほろぼす
医師			いし
百科事典			ひゃっかじてん
			あるいは
夕べ			ゆうべ
精密			せいみつ
昨			さく
付き合う			つきあう
			レッスン
			さっぱり
腰			こし
			すなわち
際			さい
禁ずる			きんずる
其れに			それに
紐			ひも
出産			しゅっさん
			スピーチ
			ビール
外出			がいしゅつ
地方			ちほう
正解			せいかい
握手			あくしゅ
人込み			ひとごみ
世帯			せたい
赴任			ふにん
上演			じょうえん
檻			おり
過ぎ			すぎ
亜科			あか
型			かた
記録			きろく
鼾			いびき
恐れ入る			おそれいる
回路			かいろ
缶			かん
憤慨			ふんがい
冒険			ぼうけん
			よると
気品			きひん
催す			もよおす
加留多			かるた
吐く			はく
冷蔵			れいぞう
普遍			ふへん
換える			かえる
程			ほど
強力			きょうりょく
不満			ふまん
為る			する
不			ぶ
農業			のうぎょう
			ゴール
度			ど
分			ぶん
情			じょう
幕			まく
下			げ
分担			ぶんたん
			システム
何時までも			いつまでも
生き物			いきもの
恐怖			きょうふ
単なる			たんなる
作り			つくり
態々			わざわざ
同級			どうきゅう
竿			さお
			ダンス
ねじ回し			ねじまわし
愛する			あいする
			なにも
絶滅			ぜつめつ
弛み			たるみ
墓			はか
臆病			おくびょう
誤り			あやまり
表現			ひょうげん
しまい			（終わり）
水田			すいでん
			とんでもない
街道			かいどう
構う			かまう
重んじる			おもんじる
待ち望む			まちのぞむ
大臣			だいじん
現状			げんじょう
航海			こうかい
起伏			きふく
生じる			しょうじる
			レポート
途中			つちゅう
逃亡			とうぼう
予め			あらかじめ
旗			はた
			タイトル
会			え
人生			じんせい
恐れる			おそれる
実行			じっこう
菓子			かし
似合う			にあう
			カクテル
賑わう			にぎわう
友			とも
消費			しょうひ
株			かぶ
壇			だん
長官			ちょうかん
袖			そで
例え			たとえ
最中			さいちゅう
安定			あんてい
答え			こたえ
平和			へいわ
振り			ふり
予報			よほう
実際			じっさい
単			ひとえ
			なぜなら
発見			はっけん
溶液			ようえき
恥			はじ
概念			がいねん
何でも			なんでも
豆			まめ
代わる			かわる
可愛らしい			かわいらしい
開始			かいし
退屈			たいくつ
			ますます
漁村			ぎょそん
酸っぱい			すっぱい
打ち合わせる			うちあわせる
双子			ふたご
			しくじる
刑			けい
猿			さる
ご馳走さま			ごちそうさま
怯える			おびえる
再建			さいけん
組み込む			くみこむ
境			さかい
合間			あいま
後			のち
奪う			うばう
真似			まね
辞退			じたい
製			せい
			そっと
久し振り			ひさしぶり
誤り			あやまり
固める			かためる
			ブレーキ
配分			はいぶん
旧知			きゅうち
提出			ていしゅつ
			マーク
記念			きねん
根拠			こんきょ
促進			そくしん
初耳			はつみみ
胴			どう
確保			かくほ
運送			うんそう
転勤			てんきん
恋愛			れんあい
等			など
見すぼらしい			みすぼらしい
材料			ざいりょう
悩ましい			なやましい
奨励			しょうれい
認める			みとめる
議題			ぎだい
			デッサン
順			じゅん
硬い			かたい
貶す			けなす
仏			ほとけ
何と			なんと
ジェット機			ジェットき
為さる			なさる
時刻表			じこくひょう
記載			きさい
秩序			ちつじょ
この			この
無口			むくち
操作			そうさ
週間			しゅうかん
嵩む			かさむ
何れ			いずれ
貧困			ひんこん
役割			やくわり
間			ま
歯磨			はみがき
整理			せいり
特権			とっけん
出来事			できごと
民宿			みんしゅく
徹夜			てつや
変動			へんどう
一方			いっぽう
会員			かいいん
残高			ざんだか
			びり
依頼			いらい
			ジーンズ
自動			じどう
一変			いっぺん
外貨			がいか
皺			しわ
軍			ぐん
決定			けってい
喋る			しゃべる
			タイム
打ち消し			うちけし
重視			じゅうし
穴			あな
迫害			はくがい
治まる			おさまる
濃い			こい
差別			さべつ
罰する			ばっする
			アンコール
			ノック
生き物			いきもの
			たまらない
凡そ			およそ
同い年			おないどし
侍			さむらい
久しい			ひさしい
頬			ほお
織			おり
捕まる			つかまる
整理			せいり
弾く			はじく
			バッグ
			それと
			あんなに
双子			ふたご
交わす			かわす
流通			りゅうつう
筋			すじ
沖			おき
丈			だけ
誘う			さそう
犯罪			はんざい
釣鐘			つりがね
関連			かんれん
心臓			しんぞう
長			おさ
別れ			わかれ
手掛ける			てがける
字体			じたい
成長			せいちょう
契る			ちぎる
初			はつ
弱			じゃく
説			せつ
居住			きょじゅう
地下			ちか
予防			よぼう
一見			いちげん
課題			かだい
無意味			むいみ
死刑			しけい
立派			りっぱ
流れる			ながれる
図書			としょ
産後			さんご
ふと			（副）
皮			かわ
油			あぶら
不足			ふそく
都会			とかい
当時			とうじ
近代			きんだい
偶に			たまに
就業			しゅうぎょう
何でも			なんでも
恥じる			はじる
収める			おさめる
貯蓄			ちょちく
敏感			びんかん
老ける			ふける
殿			しんがり
熱中			ねっちゅう
偽造			ぎぞう
服装			ふくそう
鋸			のこぎり
精巧			せいこう
逮捕			たいほ
一切			いっさい
余興			よきょう
滑稽			こっけい
手軽			てがる
幽霊			ゆうれい
庶民			しょみん
虎			とら
実			み
描写			びょうしゃ
始め			はじめ
弓			ゆみ
無し			なし
土曜			どよう
助詞			じょし
布			ぬの
私			あたし
			やはり
			スキー
覚悟			かくご
阻む			はばむ
投票			とうひょう
付録			ふろく
絵画			かいが
利点			りてん
札			さつ
謎			なぞ
平等			びょうどう
武装			ぶそう
聴覚			ちょうかく
壷			つぼ
徐行			じょこう
動揺			どうよう
吹奏			すいそう
何だか			なんだか
軈て			やがて
汚染			おせん
年寄			としより
			きちんと
気候			きこう
余分			よぶん
落ち葉			おちば
段々			だんだん
頂			いただき
清らか			きよらか
			カルテ
持てる			もてる
照合			しょうごう
緩める			ゆるめる
有る			ある
諺			ことわざ
封			ふう
個々			ここ
内臓			ないぞう
討議			とうぎ
稍			やや
運転			うんてん
			きっかり
正確			せいかく
			タイプライター
受け継ぐ			うけつぐ
実は			じつは
			どうやら
			うるさい
着			ちゃく
側			かわ
一瞬			いっしゅん
日曜			にちよう
資産			しさん
			ジャンパー
			たった
産出			さんしゅつ
養護			ようご
上達			じょうたつ
蓄積			ちくせき
参議院			さんぎいん
学習			がくしゅう
辿り着く			たどりつく
解く			ほどく
救う			すくう
兵器			へいき
気質			かたぎ
			いただきます
結び付く			むすびつく
過疎			かそ
拘束			こうそく
預ける			あずける
			パジャマ
言う			ゆう
上			じょう
尊敬			そんけい
与える			あたえる
乗り込む			のりこむ
節			ふし
封建			ほうけん
			コンタクト
症			しょう
御覧なさい			ごらんなさい
部分			ぶぶん
中央			ちゅうおう
不自由			ふじゆう
守備			しゅび
数詞			すうし
幾つ			いくつ
正規			せいき
対抗			たいこう
他			た
燃える			もえる
上下			うえした
変遷			へんせん
世話			せわ
講読			こうどく
			かわいらしい
飯			めし
四			よん
生			なま
速度			そくど
付き合い			つきあい
心掛ける			こころがける
教科書			きょうかしょ
輸入			ゆにゅう
応じる			おうじる
共存			きょうそん
小児科			しょうにか
鞠			まり
引き分け			ひきわけ
完全			かんぜん
出くわす			でくわす
入場			にゅうじょう
果て			はて
堤防			ていぼう
例			れい
寄こす			よこす
予期			よき
震える			ふるえる
動き			うごき
書き取り			かきとり
動向			どうこう
			ヨット
実践			じっせん
味方			みかた
裾			すそ
決まり			きまり
飽きる			あきる
尊重			そんちょう
異なる			ことなる
出演			しゅつえん
起こす			おこす
目録			もくろく
演技			えんぎ
腹			はら
選手			せんしゅ
品質			ひんしつ
利益			りえき
			かわいそう
山腹			さんぷく
板			いた
世間			せけん
議員			ぎいん
			じゃあ
済ませる			すませる
熱心			ねっしん
疾っくに			とっくに
天候			てんこう
布巾			ふきん
杖			つえ
微塵			みじん
楽しむ			たのしむ
下			しも
期間			きかん
染める			そめる
山脈			さんみゃく
昆虫			こんちゅう
			のんびり
帰京			ききょう
取り分			とりわけ
区々			まちまち
丘陵			きゅうりょう
放射能			ほうしゃのう
飛ばす			とばす
志望			しぼう
生じる			しょうじる
笛			ふえ
環境			かんきょう
畑			はたけ
訓			くん
吐く			はく
加減			かげん
順調			じゅんちょう
			オープン
規制			きせい
			ロケット
油絵			あぶらえ
差し掛かる			さしかかる
縁側			えんがわ
上がる			あがる
増す			ます
膳			ぜん
似通う			にかよう
好況			こうきょう
風呂			ふろ
野			の
真剣			しんけん
跡			あと
お目出度う			おめでとう
			そこで
納入			のうにゅう
手芸			しゅげい
			コーチ
意気込む			いきごむ
玉			ぎょく
連中			れんじゅう
真似			まね
手伝い			てつだい
厳か			おごそか
お目に掛かる			おめにかかる
上回る			うわまわる
見逃す			みのがす
大した			たいした
一面			いちめん
伸びる			のびる
着陸			ちゃくりく
年頃			としごろ
況して			まして
金曜			きんよう
善良			ぜんりょう
水準			すいじゅん
表す			あらわす
融通			ゆうずう
割引き			わりびき
国境			くにざかい
野外			やがい
描く			かく
遠慮			えんりょ
実験			じっけん
発育			はついく
			うがい
保存			ほぞん
来場			らいじょう
			チャイム
戸締り			とじまり
鉄片			てっぺん
登山			とざん
知事			ちじ
早急			さっきゅう
			サイズ
捕らえる			とらえる
様式			ようしき
営業			えいぎょう
地平線			ちへいせん
一生			いっしょう
判定			はんてい
注			ちゅう
圧力			あつりょく
見通し			みとおし
訪問			ほうもん
父母			ちちはは
元			もと
盾			たて
出切る			できる
大抵			たいてい
国家			こっか
			なんだかんだ
仮令			たとえ
即ち			すなわち
権威			けんい
相手			あいて
遂に			ついに
祝い			いわい
陶器			とうき
圏			けん
申し出る			もうしでる
然して			そして
			いつでも
終始			しゅうし
気温			きおん
逃げ出す			にげだす
経験			けいけん
上京			じょうきょう
陸			りく
語			ご
多様			たよう
汚れる			けがれる
保存			ほぞん
大気			たいき
中			ちゅう
確かめる			たしかめる
軒			けん
慣行			かんこう
			ウイスキー
適切			てきせつ
			じっくり
新人			しんじん
待望			たいぼう
異議			いぎ
内部			ないぶ
結果			けっか
			ホーム
夜			よ
擦る			かする
自首			じしゅ
売れる			うれる
守る			まもる
備える			そなえる
少しも			すこしも
負う			おう
追及			ついきゅう
			ルーズ
未だ			いまだ
天井			てんじょう
極			ごく
言う			ゆう
丸で			まるで
無料			むりょう
時期			じき
移住			いじゅう
月			つき
利益			りえき
打ち込む			うちこむ
完了			かんりょう
			つまり
計画			けいかく
急かす			せかす
			そのうち
直に			じかに
身体			しんたい
優美			ゆうび
十			じゅう
			マイク
感覚			かんかく
滅多に			めったに
吠える			ほえる
苦手			にがて
末期			まっき
自ずから			おのずから
			ワイン
椅子			いす
口述			こうじゅつ
穏やか			おだやか
需要			じゅよう
単なる			たんなる
炭素			たんそ
論理			ろんり
先だって			せんだって
塵取り			ちりとり
通学			つうがく
解ける			とける
眠たい			ねむたい
冷酷			れいこく
微笑			びしょう
人類			じんるい
普段			ふだん
侵略			しんりゃく
欠ける			かける
温和			おんわ
羽			はね
不可			ふか
曲			きょく
享受			きょうじゅ
外来			がいらい
残す			のこす
布			ぬの
滞在			たいざい
賢明			けんめい
どう			（接。副）
円満			えんまん
頂上			ちょうじょう
御			お
強烈			きょうれつ
常識			じょうしき
だが			だが
被る			かぶる
借金			しゃっきん
寧ろ			むしろ
玩具			おもちゃ
手遅れ			ておくれ
目標			もくひょう
長編			ちょうへん
前途			ぜんと
作法			さほう
どれ			どれ
達する			たっする
黒板			こくばん
論争			ろんそう
			ミセス
揺らぐ			ゆらぐ
仮			か
違い			ちがい
方々			かたがた
			ショック
岸			きし
嵩張る			かさばる
未知			みち
古			いにしえ
衝突			しょうとつ
遺跡			いせき
嬢			じょう
要点			ようてん
裸			はだか
獲得			かくとく
良識			りょうしき
恩			おん
避ける			さける
修学			しゅうがく
農場			のうじょう
緊張			きんちょう
直			じき
泡			あわ
煽てる			おだてる
			ラベル
区間			くかん
			タイマー
古代			こだい
迎え			むかえ
必修			ひっしゅう
男の人			おとこのひと
漏らす			もらす
経費			けいひ
防衛			ぼうえい
見渡す			みわたす
主婦			しゅふ
案内			あんない
劣る			おとる
事態			じたい
雰囲気			ふんいき
酸			さん
遠慮			えんりょ
可哀想			かわいそう
本気			ほんき
万人			ばんじん
知事			ちじ
新			しん
道場			どうじょう
防火			ぼうか
憲法			けんぽう
守衛			しゅえい
度			たび
有能			ゆうのう
拒絶			きょぜつ
滅びる			ほろびる
交互			こうご
維持			いじ
共働き			ともばたらき
釣			つり
首相			しゅしょう
蕾			つぼみ
印鑑			いんかん
盛る			さかる
豊富			ほうふ
負債			ふさい
病む			やむ
決算			けっさん
運賃			うんちん
交換			こうかん
残り			のこり
管			くだ
望む			のぞむ
俄か			にわか
その上			そのうえ
高原			こうげん
州			しゅう
			クラシック
模倣			もほう
場面			ばめん
生やす			はやす
有効			ゆうこう
園			その
染みる			しみる
三味線			さみせん
志向			しこう
公団			こうだん
設定			せってい
絶える			たえる
詳しい			くわしい
			キャンプ
雨具			あまぐ
幹			かん
販売			はんばい
得る			える
喧しい			やかましい
叫ぶ			さけぶ
			どうか
偶々			たまたま
競技			きょうぎ
煙			けむり
他意			たい
			いたずら
			つまり
何とか			なんとか
			キロ
出来るだけ			できるだけ
商売			しょうばい
擦れる			すれる
			きつい
姿			すがた
残す			のこす
消防			しょうぼう
条件			じょうけん
今後			こんご
			いい
筒			つつ
賛成			Uӣ[い
開催			かいさい
和らげる			やわらげる
伸びる			のびる
内訳			うちわけ
顧みる			かえりみる
其れ			それ
主義			しゅぎ
			コマーシャル
			いたずら
訴訟			そしょう
失望			しつぼう
			キャプテン
設備			せつび
諦め			あきらめ
任せる			まかせる
荒っぽい			あらっぽい
毛布			もうふ
尊敬			そんけい
			フロント
浴びる			あびる
中和			ちゅうわ
唯			たった
			セクション
云々			うんぬん
考え			かんがえ
襟			えり
			メーカー
一致			いっち
修正			しゅうせい
本物			ほんもの
与党			よとう
零す			こぼす
尊重			そんちょう
施設			しせつ
自慢			じまん
			がる
映像			えいぞう
香り			かおり
生まれ			うまれ
呆れる			あきれる
抜け出す			ぬけだす
しまった			（感）
密			みつ
骨董品			こっとうひん
			オーバー
再			さい
体裁			ていさい
先に			さきに
立場			たちば
行進			こうしん
姉妹			しまい
夕暮れ			ゆうぐれ
向かい			むかい
咄嗟			とっさ
年寄			としより
能			のう
見解			けんかい
成績			せいせき
不評			ふひょう
			おめでとう
影			かげ
悲鳴			ひめい
苦しむ			くるしむ
上手			うわて
政府			せいふ
厭々			いやいや
率			りつ
興じる			きょうじる
詳しい			くわしい
文語			ぶんご
震わせる			ふるわせる
道路			どうろ
収める			おさめる
接触			せっしょく
手品			てじな
			しょっちゅう
質			しつ
真っ赤			まっか
反響			はんきょう
救助			きゅうじょ
知恵			ちえ
考慮			こうりょ
			ライス
作曲			さっきょく
名称			めいしょう
綴じる			とじる
			ただ
盛装			せいそう
知的			ちてき
訪れる			おとずれる
量			りょう
両極			りょうきょく
聳える			そびえる
伐			ばつ
庶務			しょむ
記す			しるす
骨			ほね
仕舞			しまい
感触			かんしょく
読み上げる			よみあげる
矢			や
			なぜなら
彼方此方			あちらこちら
見る			みる
回り			まわり
お願いします			おねがいします
砂漠			さばく
即する			そくする
紳士			しんし
意外			いがい
種類			しゅるい
蜜			みつ
上がり			あがり
隔たる			へだたる
興業			こうぎょう
呼び止める			よびとめる
焦る			あせる
奉る			たてまつる
教師			きょうし
得る			うる
見地			けんち
夥しい			おびただしい
膝			ひざ
最早			もはや
立方			たちかた
魅力			みりょく
体温			たいおん
暗示			あんじ
痒い			かゆい
劇場			げきじょう
麻痺			まひ
合図			あいず
現す			あらわす
			こんなに
全然			ぜんぜん
罰する			ばっする
美味しい			おいしい
年月			としつき
確定			かくてい
住民			じゅうみん
稼ぐ			かせぐ
家畜			かちく
優勝			ゆうしょう
収支			しゅうし
顔付き			かおつき
内容			ないよう
理想			りそう
激励			げきれい
			センター
負傷			ふしょう
選考			せんこう
注ぐ			そそぐ
開発			かいはつ
軽減			けいげん
賄う			まかなう
碑			いしぶみ
文			ふみ
頃			ころ
			サービス
嘴			くちばし
			まるで
批判			ひはん
鉱山			こうざん
主に			おもに
描く			えがく
依然			いぜん
相当			そうとう
討論			とうろん
美人			びじん
沿線			えんせん
床			ゆか
勤め			つとめ
文書			ぶんしょ
判断			はんだん
証人			しょうにん
			ファイル
恐ろしい			おそろしい
担当			たんとう
歓声			かんせい
勘定			かんじょう
根			ね
同			どう
面			めん
休める			やすめる
座談会			ざだんかい
			カー
期間			きかん
			し
一言			ひとこと
ノー			（no）
独特			どくとく
			きちんと
現場			げんば
			えい
床			ゆか
			とにかく
暴露			ばくろ
本当			ほんとう
思い出			おもいで
医療			いりょう
			にっこり
集計			しゅうけい
知らせ			しらせ
緩む			ゆるむ
招く			まねく
馴れ馴れしい			なれなれしい
遠回り			とおまわり
深める			ふかめる
降ろす			おろす
市場			いちば
噛み切る			かみきる
			なかなか
性格			せいかく
芸術			げいじゅつ
			いずれ
切れ			きれ
助手			じょしゅ
免れる			まぬかれる
塵			ごみ
根底			こんてい
側			そば
城下			じょうか
勘			かん
勇気			ゆうき
恵む			めぐむ
御負け			おまけ
			オフィス
得意			とくい
気付く			きづく
育つ			そだつ
階			かい
反射			はんしゃ
			ビデオ
到着			とうちゃく
後			うしろ
輸出			ゆしゅつ
収入			しゅうにゅう
店			てん
冊			さつ
目蓋			まぶた
赤字			あかじ
当て			あて
様々			さまざま
思わず			おもわず
企画			きかく
感情			かんじょう
適用			てきよう
お腹			おなか
支払			しはらい
英字			えいじ
進み			すすみ
燃焼			ねんしょう
押し込む			おしこむ
画			かく
潜水			せんすい
代理			だいり
救援			きゅうえん
連邦			れんぽう
倍率			ばいりつ
物体			ぶったい
舞台			ぶたい
支店			してん
訴える			うったえる
紐			ひも
延いては			ひいては
			オリエンテーション
共学			きょうがく
連なる			つらなる
領海			りょうかい
経歴			けいれき
			ライター
印刷			いんさつ
犠牲			ぎせい
蛋白質			たんぱくしつ
若し			もし
憎しみ			にくしみ
年長			ねんちょう
混血			こんけつ
涙			なみだ
続き			つづき
遂に			ついに
お蔭			おかげ
分子			ぶんし
帯			おび
訓			くん
孤児			こじ
夜更かし			よふかし
冴える			さえる
取り寄せる			とりよせる
及ぼす			およぼす
霞む			かすむ
地位			ちい
萎びる			しなびる
濃い			こい
			さて
行き成り			いきなり
掛かる			かかる
発達			はったつ
浮気			うわき
料金			りょうきん
座席			ざせき
証拠			しょうこ
野心			やしん
物価			ぶっか
			ファイト
同一			どういつ
欲深い			よくふかい
抑制			よくせい
友情			ゆうじょう
補足			ほそく
実業家			じつぎょうか
次々			つぎつぎ
尚			なお
干渉			かんしょう
貧しい			まずしい
法学			ほうがく
出費			しゅっぴ
活用			かつよう
試す			ためす
			たまらない
			しかも
密接			みっせつ
会合			かいごう
身振り			みぶり
馬			うま
和風			わふう
計画			けいかく
すみません			（感）
			だぶだぶ
洋風			ようふう
覚ます			さます
伝達			でんたつ
取り上げる			とりあげる
補給			ほきゅう
軍艦			ぐんかん
喧嘩			けんか
見晴らし			みはらし
下り			くだり
爆発			ばくはつ
火災			かさい
大臣			だいじん
戻す			もどす
			なんか
書類			しょるい
方向			ほうこう
匹敵			ひってき
愉快			ゆかい
中腹			ちゅうっぱら
近頃			ちかごろ
偏			へん
不足			ふそく
僅			きん
進める			すすめる
国防			こくぼう
申出			もうしで
到底			とうてい
群集			ぐんしゅう
熱意			ねつい
講演			こうえん
言い訳			いいわけ
節約			せつやく
語源			ごげん
連続			れんぞく
赴く			おもむく
焦げ茶			こげちゃ
化粧			けしょう
命令			めいれい
生計			せいけい
駄目			だめ
勝る			まさる
			あらゆる
後			ご
多分			たぶん
受かる			うかる
降水			こうすい
絨毯			じゅうたん
愉快			ゆかい
名			な
事務			じむ
音			おん
親しい			したしい
親友			しんゆう
			チームワーク
財産			ざいさん
土俵			どひょう
伝統			でんとう
駄目			だめ
除く			のぞく
重要			じゅうよう
不利			ふり
飯			めし
表現			ひょうげん
懸賞			けんしょう
共産			きょうさん
壮大			そうだい
近頃			ちかごろ
内陸			ないりく
集まる			あつまる
神殿			しんでん
襲う			おそう
微妙			びみょう
			グランド
			いく
贅沢			ぜいたく
自身			じしん
事によると			ことによると
異論			いろん
詫び			わび
十			とお
では			では
不			ぶ
事柄			ことがら
概説			がいせつ
投資			とうし
新興			しんこう
議長			ぎちょう
